0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ID
-0.048871104,0.007872434,0.12485112,-0.056294955,0.06850482,0.032289013,0.087553136,0.036481693,0.009914412,-0.090523355,0.09369115,0.043779664,-0.10797085,0.015529974,-0.0029204153,-0.059999004,-0.03443908,-0.049426023,0.12767845,0.025618453,-0.07886522,-0.0898315,0.041985895,0.012948711,0.11260555,0.024163347,-0.10102571,-0.024360918,0.033443384,-0.021065358,-0.0030403407,-0.12327685,-0.0111596845,0.12576394,0.10275204,0.034603946,-0.065457486,0.06239287,0.07796531,0.06397643,0.0372224,0.05177128,-0.054926682,-0.0008805403,0.018285513,0.033599924,0.030812718,0.004389337,-0.009247246,-0.0902626,0.0
0.14044116,-0.15123613,-0.08160654,0.14541437,0.0060978634,-0.11811253,-0.123418875,-0.016589805,-0.085864924,0.06722816,-0.009190729,-0.041008446,0.14734875,-0.115953654,-0.1217497,-0.01015761,0.084261805,0.11515586,-0.07788902,0.07696543,0.09985581,0.019217608,-0.06526725,0.062936224,-0.08640269,0.033521585,0.13924201,0.15744962,0.045897063,0.091663286,0.094000995,0.042666245,-0.13452949,-0.0033327367,-0.054948915,-0.14834051,-0.028784936,0.02118192,-0.01511206,-0.030345105,-0.038734805,-0.18743995,0.08378264,0.016721275,-0.101547964,0.027665667,-0.08659166,-0.10478466,0.08934254,0.089578934,1.0
-0.029691808,0.01967816,-0.08616131,0.09006696,-0.013358439,-0.14045371,-0.15257971,0.00930169,0.09186173,0.11009623,-0.14159974,-0.053121433,0.14283277,-0.06751443,0.06684989,-0.016385566,0.098794326,-0.008129406,-0.14136794,0.01944822,0.04638131,0.06896921,-0.059286598,-0.020119209,-0.093446605,-0.043511294,0.081606306,-0.061836604,0.14756905,0.014125972,-0.13913994,0.09978405,0.13523512,-0.12913665,-0.111466356,0.081336156,0.08094968,-0.18502705,-0.055621237,-0.17910388,-0.046536013,-0.007026265,0.02983848,-0.09904653,0.11066745,-0.07709052,-0.056560565,0.009037547,-0.17237103,0.09208003,2.0
-0.06307668,0.004202823,0.13556781,-0.09920573,0.19421801,0.11851167,-0.057710856,0.05985907,-0.10544294,-0.11986815,0.037872594,-0.034258,-0.073376,0.19004813,-0.15260763,-0.13045865,-0.025017314,-0.03574637,-0.019668812,0.1214469,-0.13409194,-0.03753785,-0.16534701,0.09874346,0.18367498,0.13807559,0.020965373,0.059665952,-0.16480565,-0.06752936,-0.078570835,0.056016635,0.12773782,-0.028056627,-0.05938015,-0.051271062,0.081294216,-0.01659726,-0.055364743,0.018358985,0.12285829,-0.11845097,0.040297106,-0.065405734,-0.09326829,-0.051138062,-0.045075808,-0.06064951,-0.050330676,0.010590737,3.0
-0.030393645,0.121517085,0.058027312,0.2514397,-0.0035150219,-0.21843907,-0.22502568,0.09657217,0.1249238,-0.160749,-0.18276629,0.019968713,0.06802418,-0.15768555,0.23924737,-0.11904102,0.1912045,0.0122675905,-0.10071961,0.20323825,0.1448821,0.13731663,0.07108295,-0.02277142,-0.14365602,-0.122114085,0.022108579,0.018146398,0.22969937,-0.099226095,0.15437765,-0.057148974,0.12406748,-0.010159578,-0.17798217,0.031962495,-0.08453228,-0.15807588,0.09706885,-0.20130672,0.06438835,-0.023153385,-0.020309204,0.05481026,0.094821446,0.14296368,0.14127645,-0.054782,-0.21023417,0.22860834,4.0
-0.014925867,0.016250677,-0.041613378,0.037328795,-0.054928545,0.05110125,0.025415486,-0.049200892,0.010335388,0.025879992,0.010006007,0.013762125,-0.061617333,-0.024655035,-0.038510837,0.03661181,-0.06487904,-0.05178901,0.056528382,-0.10214502,0.075764805,-0.010703301,0.0065216445,-0.0077587315,0.006044001,-0.06239333,-0.091614544,0.024379078,-0.03335303,-0.07401548,0.10575748,-0.026506072,-0.12711671,0.010718404,0.070691496,0.07175448,-0.10148788,0.082680315,0.082464434,0.020152472,0.056514144,-0.02432466,-0.0563199,0.09723142,0.0083097555,0.024239842,-0.020843837,0.050476365,0.12587087,-0.042342383,5.0
-0.0018331376,0.003663618,-0.054992173,0.06518558,-0.06737661,-0.09254562,-0.10316725,0.10371977,-0.07703519,-0.00821623,-0.050793193,-0.05165556,-0.010575397,-0.0014329613,0.03029486,-0.0024933966,0.049420733,-0.031731836,-0.111741334,0.03994221,0.006612505,0.08587064,0.10432994,0.05983013,-0.116501,-0.025071425,0.03856833,-0.017953893,-0.053068846,0.03460622,-0.025249397,0.07381931,0.11279433,-0.09798945,-0.105646595,-0.04099548,0.06754052,-0.036842126,-0.07673018,0.015672738,-0.025547273,-0.027117105,-0.0754499,-0.021009585,0.13696004,0.03445731,0.019289207,0.080294736,0.0019936482,0.040017884,6.0
0.075568065,0.028555805,-0.032401968,0.030149672,0.01285505,-0.0666423,0.008244071,-0.053237483,0.10546544,-0.0044723684,-0.039252497,-0.12051179,0.015921548,-0.02622927,-0.115147814,-0.03366601,-0.10625737,-0.0005770837,-0.084056094,0.043152407,-0.0028552697,0.018424155,-0.10089796,-0.16442461,0.07681382,-0.03876124,0.08299669,-0.017011048,0.076192416,0.0889557,0.05537054,0.080098905,-0.024420187,-0.0029668224,-0.056073204,-0.01638361,-0.11043208,0.006601275,-0.009851812,-0.049052346,0.009653914,-0.076482005,-0.012484284,-0.08652704,-0.10970649,-0.03104841,-0.010357485,-0.050396226,0.009296446,0.071666196,7.0
0.04848334,-0.032850824,-0.029803729,0.025481759,0.038796335,-0.09234259,-0.0034760747,-0.091871396,-0.04705113,0.056505688,-0.07242555,-0.09988307,0.038172383,-0.027711244,-0.0036452755,0.0127598215,-0.10280268,0.11470205,-0.08649311,0.08066033,-0.08291228,0.06984447,-0.020832147,0.03585383,0.049130794,0.036041543,0.044938374,0.016439432,0.032888874,0.08960171,-0.105254196,0.060900223,0.04809446,-0.04629841,-0.071838126,0.03140763,0.0211024,-0.028954834,-0.048365284,-0.040393777,-0.03224752,-0.031071672,0.12296577,-0.07350905,-0.08238881,-0.0020583293,0.014860019,-0.008591226,-0.05796809,0.11449711,8.0
0.06683166,-0.07047696,0.07100822,-0.07436802,-0.10171275,0.044663128,0.20870562,-0.15749808,-0.07661256,0.13390943,0.15046987,0.13509831,-0.07604295,0.10986421,-0.012968134,0.2231937,-0.054538604,0.049816,0.17471783,-0.17441024,-0.022268094,-0.22488686,0.11271091,0.105542496,0.06580542,-0.08029947,-0.18295607,0.1899748,-0.1646109,-0.030832402,0.05148403,-0.020821713,-0.10137154,0.11202543,0.26890808,-0.08367132,-0.08332676,0.26320004,-0.0009070013,0.2874266,-0.016477995,0.026761644,-0.10847589,0.14377247,-0.078212366,0.11336968,0.014900739,0.11077184,0.3133954,-0.24536958,9.0
0.2448711,0.009096216,-0.2289235,0.014900508,0.03534179,-0.2088064,-0.09534869,-0.16493052,0.17923437,0.23385097,-0.0747244,-0.11468746,0.2557413,-0.228651,-0.11140822,0.113381796,-0.04756523,0.28799477,-0.15151629,0.234181,-0.14625663,-0.0116620725,-0.2568394,-0.065320164,-0.023553638,-0.08033163,0.2457093,0.013966746,0.22936562,0.2801046,-0.25168782,0.16914465,0.19279909,0.023922335,-0.21110258,0.05025173,-0.109514594,-0.16840306,-0.0032704526,-0.24356508,-0.19744246,-0.23518276,0.2569971,-0.21546362,-0.15476845,-0.16390051,0.07753744,-0.14063692,-0.28041965,0.1392832,10.0
